rank,key,canonical,n_papers,papers,sample_reference
346,aral_2012,Aral (2012),1,newman_eliminating_2020,"Aral, S., Brynjolfsson, E., & Wu, L. (2012). Three-way complementarities: Performance pay, human resource analytics, and information technology. Management Science, 58, 913�931. actions to decisions: Interactive effects of outcomes and procedures. Psychological"
347,aranson_1982,Aranson (1982),1,fiorina_legislator_1986,"Aranson, Peter; Ernest Gellhorn; and Glen Robinson. 1982. ""A Theory of Legislative Delegation,"" 68 Cornell Law Review 1."
348,araujo_2020,Araujo (2020),1,liu_when_2021,"Araujo, T., Helberger, N., Kruikemeier, S., & De Vreese, C. H. (2020). In AI we trust? Perceptions about automated decision-making by artificial intelligence. AI & Society, 35(3), 611�623. https://doi.org/ 10.1007/s00146-019-00931-w"
349,aridor_2020,Aridor (2020),1,dargnies_aversion_2026,"Aridor, G., Che, Y.-K., & Salz, T. (2020). The economic consequences of data privacy regulation: Empirical evidence from GDPR. Cambridge, MA, USA: National Bureau of Economic Research."
350,ariely_2009,Ariely (2009),1,tontrup_strategic_2025,"Ariely, D., Bracha, A., & Meier, S. (2009). Doing good or doing well? Image motivation and monetary incentives in behaving prosocially. American Economic Review, 99(1), 544�555."
351,arjie_2025,Arjie (2025),1,chen_AI_2026,[25] Arjie Domingo. 2025. Investigating the influence of AI-driven tools in ESL
352,arkes_2007,Arkes (2007),1,burton_systematic_2020,"Arkes, H. R., Shaffer, V. A., & Medow, M. A. (2007). Patients Derogate Phy- sicians Who Use a Computer-Assisted Diagnostic Aid. Medical Decision Making, 27, 189�202. https://doi.org/10.1177/0272989X06297391"
353,arkes_2016,Arkes (2016),1,burton_systematic_2020,"Arkes, H. R., Gigerenzer, G., & Hertwig, R. (2016). How bad is incoher- ence? American Psychological Association, 3(1), 20�39. https://doi.org/ 10.1037/dec0000043"
354,arkin_2008,Arkin (2008),1,bigman_people_2018,"Arkin, R. C. (2008). Governing lethal behavior: Embedding ethics in a hybrid delib- erative/reactive robot architecture Part I: Motivation and philosophy. Proceedings of the 3rd international conference on human robot interaction - HRI '08 (pp. 121). . https://doi.org/10.1145/1349822.1349839."
355,arkin_2009,Arkin (2009),1,bigman_people_2018,"Arkin, R. C. (2009). Ethical robots in warfare. IEEE Technology and Society Magazine, 28(1), 30�33. https://doi.org/10.1109/MTS.2009.931858."
356,arkin_2011,Arkin (2011),1,salatino_influence_2025,"33. Arkin, R. C., Ulam, P. & Wagner, A. R. Moral decision making in autonomous systems: enforcement, moral emotions, dignity, trust, and deception. Proc. IEEE 100 (3), 571�589 (2011)."
357,arlen_2015,Arlen (2015a),1,tontrup_strategic_2025,"Arlen, J., & Tontrup, S. (2015a). Does the endowment effect justify legal intervention? The debiasing effect of institutions. Journal of Legal Studies, 44(1), 143�168."
358,armstrong_1980,Armstrong (1980),1,castelo_task-dependent_2019,"Armstrong, J. Scott (1980), ""The Seer-Sucker Theory: The Value of Experts in Forecasting,"" Technology Review, 82 (7), 16�24."
359,arnold_1932,Arnold (1932),1,bogert_humans_2021,"40. Arnold, D., Dobbie, W. & Yang, C. Racial Bias in Bail Decisions. Q. J. Econ. 133, 1885�1932 (2018)."
360,arnold_1990,Arnold (1990),1,hill_does_2015,"Arnold, R. Douglass (1990) The Logic of Congressional Action. New Haven, CT: Yale Univ. Press."
361,aronson_2009,Aronson (2009),1,kirchkamp_sharing_2019,"Aronson, E. (2009). e return of the repressed: Dissonance theory makes a comeback. Psychological Inquiry, 3(4):303�311."
362,arrow_1971,Arrow (1971),1,kormylo_till_2025,"Arrow, K. J. 1971. ""The Theory of Risk Aversion,"" Essays in the theory of risk-bearing), pp. 90- 120."
363,arrow_1974,Arrow (1974),1,falk_morals_2013,"39. K. Arrow, The Limits of Organization (Norton, New York Tables S1 and S2 and London, 1974). References (40, 41)"
364,asaro_2011,Asaro (2011),1,kirchkamp_sharing_2019,"Asaro, P. M. (2011). A body to kick, but still no soul to damn: Legal perspectives on robotics. In Lin, P., Abney, K., and Bekey, G. A., editors, Robot Ethics: e Ethical and Social Implications of Robotics, pages 169�186. MIT Press, Cambridge, MA."
365,asatiani_2021,Asatiani (2021),1,killoran_learn_2026,"10. A. Asatiani et al., Sociotechnical envelopment of artificial intelligence: An approach to organizational deployment of inscrutable artificial intelligence systems. J. Assoc. Inf. Syst. 22, 325�352 (2021)."
366,ashraf_2018,Ashraf Abdul (2018),1,chen_AI_2026,"[1] Ashraf Abdul, Jo Vermeulen, Danding Wang, Brian Y. Lim, and Mohan Kankan- halli. 2018. Trends and Trajectories for Explainable, Accountable and Intel- ligible Systems: An HCI Research Agenda. In Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems (Montreal QC, Canada) (C"
367,ashton_1990,Ashton (1990),1,burton_systematic_2020,"Ashton, R. H. (1990). Pressure and performance in accounting decision Research shows that augmented, human-algorithm decision systems outperform both lone human and lone algorithm decision makers (e.g., Einhorn, 1972; Kleinmuntz, 1990). More recently, however, fervent"
368,ashton_1992,Ashton (1992),1,burton_systematic_2020,"Ashton, R. H. (1992). Effects of justification and a mechanical aid on judg- ment performance. Organizational Behavior and Human Decision Pro- cesses, 52(2), 292�306. https://doi.org/10.1016/0749-5978(92) 90040-E"
369,ashton_1994,Ashton (1994),1,burton_systematic_2020,"Ashton, A. H., Ashton, R. H., & Davis, M. N. (1994). White-collar robotics: Levering managerial decision making. California Management Review,"
370,ashton_2002,Ashton (2002),1,goldbach_geht_2019,"Ashton, M. C., Lee, K., & Paunonen, S. V. (2002). What is the central feature of extraversion? Social attention versus reward sensitivity. Journal of Personality and Social Psychology, 83(1), 245�252. https://doi.org/10.1037/0022-3514.83.1.245."
371,ashton_2007,Ashton (2007),1,jolly_not_2025,"Ashton, M. C., & Lee, K. (2007). Empirical, theoretical, and practical advantages of the HEXACO model of personality structure. Per- sonality and Social Psychology Review, 11(2), 150�166. https:// doi.org/10.1177/1088868306294907"
372,ashton_2009,Ashton (2009),1,jolly_not_2025,"Ashton, M. C., & Lee, K. (2009). The HEXACO-60: A short measure of the major dimensions of personality. Journal of Personality Assessment, 91(4), 340�345. https://d oi.o rg/1 0.1 080/0 02238 9090 2935878"
373,asimov_1950,Asimov (1950),1,bigman_people_2018,"Asimov, I. (1950). I, Robot. New York, NY: Doubleday and Company."
374,auster_2021,Auster (2021),1,dargnies_aversion_2026,"Auster, S. & Pavoni, N. (2021). Optimal delegation and information transmission under limited awareness, ECONtribute Discussion Paper, No. 059, University of Bonn and University of Cologne, Reinhard Selten Institute (RSI), Bonn and Cologne."
375,avineri_2007,Avineri (2007),1,goldbach_geht_2019,"Avineri, E., & Prashker, J. N. (2007). Sensitivity to uncertainty: Need for a paradigm shift. Transportation Research Record: Journal of the Transportation Research Board, 1854(1), 90�98. https://doi.org/10.3141/1854-10."
376,avraham_1996,Avraham (1996),1,chen_AI_2026,"[51] Avraham Kluger and Angelo DeNisi. 1996. The Effects of Feedback Interven- tions on Performance: A Historical Review, a Meta-Analysis, and a Preliminary Feedback Intervention Theory. Psychological Bulletin 119 (03 1996), 254�284."
377,awad_2016,Awad (2016),1,kobis_delegation_2025,"65. Awad, E., Dsouza, S., Shariff, A., Rahwan, I. & Bonnefon, J.-F. Universals and variations in 53. Choo, C. L., Fonseca, M. A. & Myles, G. D. Do students behave like real taxpayers in the lab? Evidence from a real effort tax compliance experiment. J. Econ. Behav. Organ. 124, 102�114 (2016)."
378,awad_2022,Awad (2022),1,bonnefon_the_2024,"Awad E, Levine S, Anderson M, Anderson SL, Conitzer V, et al. 2022. Computational ethics. Trends Cogn. Sci. 26(5):388�405"
379,axelrod_1981,Axelrod (1981),1,chen_otree_2016,"Axelrod, R., Hamilton, W., 1981. The evolution of cooperation. Science 211, 1390�1396. platforms for behavioral experiments on social-ecological systems. Bardsley, N., Cubitt, R., Loomes, G., Moffatt, P., Starmer, C., Sugden, R., 2010. Experimental Economics: Rethinking the Rules. Princeton Universi"
380,axelrod_1986,Axelrod (1986),1,coffman_intermediation_2011,"Axelrod, Robert. 1986. ""An Evolutionary Approach to Norms."" American Political Science Review, 80(4): 1095�1111."
381,ay_2013,AY (2013),1,falk_morals_2013,10 MAY 2013 VOL 340 SCIENCE www.sciencemag.org
382,ayano_2025,Ayano Okoso (2025),1,chen_AI_2026,"[79] Ayano Okoso, Mingzhe Yang, and Yukino Baba. 2025. Do Expressions Change Decisions? Exploring the Impact of AI's Explanation Tone on Decision-Making. In Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems (CHI '25). Association for Computing Machinery, New York, NY, USA,"
383,babina_2024,Babina (2024),1,weitzner_reputational_2024,"Babina, Tania, Anastassia Fedyk, Alex He, and James Hodson, 2024, Artificial intel- ligence, firm growth, and product innovation, Journal of Financial Economics 151, 103745."
384,badakhshan_2020,Badakhshan (2020),1,dargnies_aversion_2026,"Badakhshan, E., Humphreys, P., Maguire, L., & McIvor, R. (2020). Using simulation-based system dynamics and genetic algorithms to reduce the cash flow bullwhip in the supply chain. International Journal of Production Research, 58(17), 5253-5279."
385,baesens_2003,Baesens (2003),1,dargnies_aversion_2026,"Baesens, B., Van Gestel, T., Viaene, S., Stepanova, M., Suykens, J., & Vanthienen, J. (2003). Benchmarking state-of-the-art classification algorithms for credit scoring. Journal of the Operational Research Society 54(6), 627-635."
386,bagwell_1995,Bagwell (1995),1,hamman_self-interest_2010,"Bagwell, Kyle. 1995. ""Commitment and Observability in Games."" Games and Economic Behavior, 8(2): 271�80."
387,bai_2024,Bai (2024),1,tsumura_effects_2026,"44. Bai, Z. & Chen, K. Effects of explanations by robots on trust repair in human-robot collaborations. In Degen, H. & Ntoa, S. (eds.) Artificial Intelligence in HCI, 3�14 (Springer Nature Switzerland, Cham, 2024)."
388,bajari_2019,Bajari (2019),1,dargnies_aversion_2026,"Bajari, P., Chernozhukov, V., Horta�su, A., & Suzuki, J. (2019). The impact of big data on firm performance: An empirical investigation. AEA Papers and Proceedings 109, 33-37)"
389,baker_2019,Baker (2019),1,bogert_humans_2021,"7. Baker, P. `I Think This Guy Is, Like, Passed Out in His Tesla'. The New York Times Magazine (2019)."
390,balafoutas_2017,Balafoutas (2017),1,kirchkamp_sharing_2019,"Balafoutas, L. and Su er, M. (2017). On the nature of guilt aversion: Insights from a new methodology in the dictator game. Journal of Behavioral and Experimental Finance, 13:9� 15."
391,balliet_2009,Balliet (2009),1,tontrup_strategic_2025,"Balliet, D., Parks, C., & Joireman, J. (2009). Social value orientation and cooperation in social dilemmas: A meta-analysis. Group Processes & Intergroup Relations, 12(4), 533�547."
392,bandura_1986,Bandura (1986),1,jolly_not_2025,"Bandura, A. (1986). Social foundations of thought and action: A social cognitive theory. Prentice-Hall."
393,bandura_1999,Bandura (1999),1,tontrup_strategic_2025,"Bandura, A. (1999). Moral disengagement in the perpetration of inhumanities. Personality and Social Psychology Review, 3(3), 193�209."
394,bandura_2006,Bandura (2006),1,salatino_influence_2025,"50. Bandura, A. Toward a psychology of human agency. Perspect. Psychol. Sci. 1, 164�180 (2006)."
395,bankins_2023,Bankins (2023),1,jolly_not_2025,"Bankins, S., & Formosa, P. (2023). The ethical implications of artificial"
396,banzhaf_1964,Banzhaf (1964),1,bartling_fischbacher_schudy_2015,"Banzhaf, J.F., 1964. Weighted voting doesn't work: a mathematical analysis. Rutgers Law"
397,barbara_2003,Barbara (2003),1,heaton_social_2023,"[1] Barbara D. Adams, Lora E. Bruyn, S�bastien Houde, Paul Angelopoulos, Kim Iwasa-Madge, and Carol McCann. 2003. Trust in automated systems. Toronto: Ministry of National Defence (2003). rithmic decision-making and a ""right to explanation"". AI magazine 38, 3 (2017),"
398,barber_2000,Barber (2000),1,litterscheidt_financial_2020,"Barber, B. M., & Odean, T. (2000). Trading is hazardous to your wealth: The common stock investment performance of individual investors. The Journal of Finance, 55(2), 773-806."
399,barker_1993,Barker (1993),1,jolly_not_2025,"Barker, J. R. (1993). Tightening the iron cage: Concertive control in self-managing teams. Administrative Science Quarterly, 38(3),"
400,barkow_2010,Barkow (2010),1,hill_does_2015,"Barkow, Rachel E. (2010) ""Insulating Agencies: Avoiding Capture Through Institutional Design,"" 89"
401,barley_1996,Barley (1996),1,kurtzberg_attribution_2004,"Barley, S. R. (1996). The new world of work. London: British-North American Committee."
402,barmettler_2012,Barmettler (2012),1,de_quidt_measuring_2018,"Barmettler, Franziska, Ernst Fehr, and Christian Zehnder. 2012. ""Big Experimenter Is Watching You! Anonymity and Prosocial Behavior in the Laboratory."" Games and Economic Behavior 75 (1): 17�34."
403,barnett_2015,Barnett (2015),1,goldbach_geht_2019,"Barnett, T., Pearson, A. W., Pearson, R., & Kellermanns, F. W. (2015). Five-factor model personality traits as predictors of perceived and actual usage of technology. European Journal of Information Systems, 24(4), 374�390. https://doi.org/10.1057/ejis.2014.10."
404,baron_1986,Baron (1986),1,kurtzberg_attribution_2004,"Baron, R. M., & Kenny, D. A. (1986). The moderator�mediator On a more societal level, it is often proclaimed by both the academic and popular presses that a new revolutionary transition is underway due to the tech- nological developments over the past decade--specifi- cally, information-based techno"
405,baron_2004,Baron (2004),1,tontrup_strategic_2025,"Baron, J., & Ritov, I. (2004). Omission bias, individual differences, and normality. Organizational Behavior and Human Decision Processes, 94(2), 74�85."
406,barrett-howard_1986,Barrett-Howard (1986),1,newman_eliminating_2020,"Barrett-Howard, E., & Tyler, T. R. (1986). Procedural justice as a criterion in allocation"
407,barrick_1991,Barrick (1991),1,goldbach_geht_2019,"Barrick, M. R., & Mount, M. K. (1991). The big five personality dimensions and job performance: A meta-analysis. Personnel Psychology, 44(1), 1�26. https:// doi.org/10.1111/j.1744-6570.1991.tb00688.x."
408,barron_2022,Barron (2022),1,dargnies_aversion_2026,"Barron, K., Ditlmann, R., Gehrig, S., & Schweighofer-Kodritsch, S. (2022). Explicit and implicit belief-based gender discrimination: A hiring experiment. Mimeo."
409,barry_2000,Barry (2000),1,heaton_social_2023,"[77] Barry J Zimmerman. 2000. Self-efficacy: An essential motive to learn. Contempo- rary educational psychology 25, 1 (2000), 82�91."
410,barsky_2011,Barsky (2011),1,jolly_not_2025,"Barsky, A. (2011). Investigating the effects of moral disengagement and participation on unethical work behavior. Journal of Business"
411,bartholomew-biggs_2003,Bartholomew-Biggs (2003),1,bigman_people_2018,"Bartholomew-Biggs, M. C., Parkhurst, S. C., & Wilson, S. P. (2003). Global optimization Although the studies here revealed the importance of mind for moral agency by comparing machines (who are generally seen to lack mind) to humans (who are generally seen to possess mind), the results should apply "
412,bartling_2008,Bartling (2008),1,hamman_self-interest_2010,"Bartling, Bj�rn, and Urs Fischbacher. 2008. ""Shifting the Blame: On Delegation and Responsibility."" TWI Research Paper 32."
413,bartling_2023,Bartling (2023),1,hueholt_trusting_2026,"Bartling, B., Fehr, E., �zdemir, Y., 2023. Does Market Interaction Erode Moral Values? Rev. Econ. Stat. 105 (1), 226�235. http://dx.doi.org/10.1162/rest_a_01021."
414,bartneck_2007,Bartneck (2007),1,bigman_people_2018,"Bartneck, C., Verbunt, M., Mubin, O., & Al Mahmud, A. (2007). To kill a mockingbird robot. Proceeding of the ACM/IEEE international conference on human-robot interaction - HRI '07 (pp. 81). . https://doi.org/10.1145/1228716.1228728."
415,bartosiak_2022,Bartosiak (2022),1,chevrier_algorithm_2024,"Bartosiak, M. L. and Modlinski, A. (2022). Fired by an algorithm? exploration of con- formism with biased intelligent decision support systems in the context of workplace discipline. Career Development International, 27(6/7):601�615."
416,baryannis_2019,Baryannis (2019a),1,trunk_current_2020,"Baryannis, George, Samir Dani, and Grigoris Antoniou. 2019a. Predicting supply chain risks using machine learning: The trade-off between performance and interpretability. Future Generation Computer Systems 101: 993�1004. https://doi.org/10.1016/j.future.2019.07.059."
417,bass_1969,Bass (1969),1,castelo_task-dependent_2019,"Bass, Frank M. (1969), ""A New Product Growth for Model Consumer Durables,"" Management Science, 15 (5), 215�27."
418,bastian_2012,Bastian (2012),1,bigman_people_2018,"Bastian, B., Loughnan, S., Haslam, N., & Radke, H. R. M. (2012). Don't mind meat? The denial of mind to animals used for human consumption. Personality and Social Psychology Bulletin, 38(2), 247�256. https://doi.org/10.1177/0146167211424291."
419,basu_1994,Basu (1994),1,chen_otree_2016,"Basu, K., 1994. The traveler's dilemma: Paradoxes of rationality in game theory. Amer. Econ. Rev. 84, 391�395."
420,bates_1998,Bates (1998),1,pezzo_pezzo_physician_2006,"5. Bates DW, Leape LL, Cullen DJ, et al. Effect of computerized phy- sician order entry and a team intervention on prevention of serious medication errors. JAMA. 1998;280:1311�6."
421,bates_2014,Bates (2014),1,bogert_humans_2021,"48. Bates, D., M�chler, M., Bolker, B. & Walker, S. Fitting Linear Mixed-Effects Models Using lme4. arXiv preprint (2014)."
422,battigalli_2007,BATTIGALLI (2007),1,bartling_shifting_2012,"BATTIGALLI, P. and DUFWENBERG, M. (2007), ""Guilt in Games"", American Economic Review Papers & Proceed- ings, 97, 170�176."
423,bauer_2018,Bauer (2018),1,sharan_dont_2020,"Bauer, P.C., Freitag, M., 2018. Measuring Trust. The Oxford Handbook of Social and Political Trust, 15. automation. J. Exp. Psychol. Appl. 6 (2), 104."
424,bauer_2023,Bauer (2023),1,killoran_learn_2026,"8. M. Bauer, J. Cahl�kov�, J. Chytilov�, G. Roland, T. Zelinsk�, Shifting punishment onto minorities: Experimental evidence of scapegoating. Econ. J. 133, 1626�1640 (2023)."
425,baumann_2020,Baumann (2020),1,qin_ai_2025,"Baumann, M. (2020). Get ready for being chauffeured: Passenger's preferences and trust while being driven by human and automation. Human Factors, 62(8), 1322�1338. https://doi.org/10.1177/00187208"
426,baumann_2021,Baumann (2021),1,qin_ai_2025,"Baumann, M. (2021). Small talk with a robot? The impact of dialog content, talk initiative, and gaze behavior of a social robot on trust, acceptance, and  Chao, C. Y., Chang, T. C., Wu, H. C., Lin, Y. S., & Chen, P. C. (2016). The proximity. International Journal of Social Robotics, 13(6), 1485�1498"
427,baumeister_1994,Baumeister (1994),1,kirchkamp_sharing_2019,"Baumeister, R. F., Stillwell, A. M., and Heatherton, T. F. (1994). Guilt: an interpersonal ap- proach. Psychological Bulletin, 115(2):243�267."
428,bausch_2012,Bausch (2012),1,chen_otree_2016,"Bausch, A.W., 2012. Introduction to z-Tree: Day 3. https://files.nyu.edu/ awb257/public/slides/Bausch- ztreeslides3.pdf. real world? The Journal of Economic Perspectives 21, 153�174."
429,bazerman_1985,Bazerman (1985),1,logg_algorithm_2019,"Bazerman, M. H. (1985). Norms of distributive justice in interest arbitration. Industrial and Labor Relations Review, 38, 558�570. https://doi.org/10.2307/2523991. mechanical prediction: A meta-analysis. Psychological Assessment, 12(1), 19."
430,bazerman_1992,Bazerman (1992),1,logg_algorithm_2019,"Bazerman, M. H., Loewenstein, G. F., & White, S. B. (1992). Reversals of preference in allocation decisions: Judging an alternative versus choosing among alternatives. Administrative Science Quarterly, 220�240."
431,bazerman_2009,Bazerman (2009),1,hill_does_2015,"Bazerman, Max H., Joshua D. Greene, Karim S. Kassam, & Neeru Paharia (2009) ""Dirty Work, Clean"
432,bazot_2017,Bazot (2017),1,litterscheidt_financial_2020,"Bazot, G. (2017). Financial consumption and the cost of finance: Measuring financial efficiency in Europe (1950-2007). Journal of the European Economic Association, 16(1), 123�160."
433,bear_2016,Bear (2016),1,castelo_task-dependent_2019,"Bear, Adam and David G. Rand (2016), ""Intuition, Deliberation, and the Evolution of Cooperation,"" Proceedings of the National Acad- emy of Sciences, 113 (4), 936�41."
434,beattie_1994,Beattie (1994),1,steffel_passing_2016,"Beattie, J., Baron, J., Hershey, J. C., & Spranca, M. (1994). Psychological determinants  Rosenthal, R., & Rosnow, R. L. (1985). Contrast analysis: Focused comparisons in the of decision attitude. Journal of Behavioral Decision Making, 7, 129�144."
435,beauvois_1996,Beauvois (1996),1,kirchkamp_sharing_2019,"Beauvois, J.-L. and Joule, R. (1996). A radical dissonance theory. Taylor & Francis, London; Bristol, PA."
436,bechel_1985,Bechel (1985),1,kirchkamp_sharing_2019,"Bechel, W. (1985). A ributing responsibility to computer systems. Metaphilosophy, 16(4):296�306."
437,bechtel_1985,Bechtel (1985),1,goldbach_geht_2019,"Bechtel, W. (1985). Attributing responsibility to computer systems. Metaphilosophy, 16(4), 296�306."
438,becker_2017,Becker (2017),1,bogert_humans_2021,"22. Becker, J., Brackbill, D. & Centola, D. Network dynamics of social influence in the wisdom of the crowds. Proc. Natl. Acad. Sci. 114, E5070�E5076 (2017)."
439,beckers_2022,Beckers (2022),1,bonnefon_the_2024,"Beckers N, Siebert LC, Bruijnes M, Jonker C, Abbink D. 2022. Drivers of partially automated vehicles are blamed for crashes that they cannot reasonably avoid. Sci. Rep. 12:16193"
440,beckmann_2002,Beckmann (2002),1,trunk_current_2020,"Beckmann, Christine M., and Pamela R. Haunschild. 2002. Network learning: The effects of partners' heterogeneity experience on corporate acquisitions. Administrative Science Quarterly 47: 92�124."
441,beer_2017,Beer (2017),1,shank_attributions_2019,"Beer, D. G. (2017). The social power of algorithms. Information, Communication and Society, 20, 1�13."
442,behrend_2011,Behrend (2011),1,berger_watch_2021,"Behrend TS, Sharek DJ, Meade AW, Wiebe EN (2011) The viability of crowdsourcing for survey research. Behav Res Methods 43(3):800�813. https://doi.org/10.3758/s13428-011-0081-0"
443,beioley_2018,Beioley (2018),1,niszczota_robo-investors_2020,15. Beioley K. Robo advisers short-circuit over ethical investing. In: Financial Times [Internet]. 13 Sep 2018 [cited 19 Jan 2020]. https://www.ft.com/content/1dabbce8-b5d8-11e8-b3ef-799c8613f4a1
444,bekhor_2014,Bekhor (2014),1,goldbach_geht_2019,"Bekhor, S., & Albert, G. (2014). Accounting for sensation seeking in route choice behavior with travel time information. Transportation Research Part F: Traffic"
445,bell_2012,Bell (2012),1,kormylo_till_2025,"Bell, D., and Gana, L. 2012. ""Algorithmic Trading Systems: A Multifaceted View of Adoption,"" 2012 45th Hawaii International Conference on System Sciences: IEEE, pp. 3090-3099."
446,bellemare_2018,Bellemare (2018),1,kirchkamp_sharing_2019,"Bellemare, C., Sebald, A., and Suetens, S. (2018). Heterogeneous guilt sensitivities and incen- tive e ects. Experimental Economics, 21(2):316�336."
447,bem_1972,Bem (1972),1,maasland_blame_2022,"Bem, D. J. (1972). Self-perception theory. Adv. Exp. Soc. Psychol. 6, 1�62. doi: 10.1016/s0065-2601(08)60024-6 self-reported values. Psychol. Mark. 17, 105�120. doi: 10.1002/(SICI)1520"
448,ben-akiva_2007,Ben-Akiva (2007),1,goldbach_geht_2019,"Ben-Akiva, M., Walker, J., Bernardino, A. T., Gopinath, D. A., Morikawa, T., & Polydoropoulou, A. (2007). Integration of choice and latent variable models. In In"
449,ben-elia_2010,Ben-Elia (2010),1,goldbach_geht_2019,"Ben-Elia, E., & Shiftan, Y. (2010). Which road do I take ? A learning-based model of route- choice behavior with real-time information. Transportation"
450,ben-elia_2012,Ben-Elia (2012),1,goldbach_geht_2019,"Ben-Elia, E., Di Pace, R., Bifulco, G. N., & Shiftan, Y. (2012). The impact of travel information ' s accuracy on route -choice. Transportation Research Part C:"
451,ben-elia_2015,Ben-Elia (2015),1,goldbach_geht_2019,"Ben-Elia, E., & Avineri, E. (2015). Response to travel information: A behavioural review. Transport Reviews, 35(3), 352�377. https://doi.org/10.1080/"
452,ben-ner_2007,Ben-Ner (2007),1,sharan_dont_2020,"Ben-Ner, A., Halldorsson, F., 2007. Measuring trust: which measure can be trusted?. In: Paper provided by the Human Resources and Labor Studies, University of Minnesota in its Working Papers with, (0207) https://EconPapers.repec.org/RePEc:hrr:pape rs:0207."
453,benabou_2002,BENABOU (2002),1,bartling_shifting_2012,"BENABOU, R. and TIROLE, J. (2002), ""Self-confidence and Personal Motivation"", Quarterly Journal of Economics, 117, 871�915."
454,benabou_2006,Benabou (2006),1,hamman_self-interest_2010,"Benabou, Roland, and Jean Tirole. 2006. ""Incentives and Prosocial Behavior."" American Economic Review, 96(5): 1652�78."
455,benbasat_1981,Benbasat (1981),1,burton_systematic_2020,"Benbasat, I., & Taylor, R. N. (1981). Behavioral aspects of information processing for the design of management information systems. IEEE Transactions on Systems, Man, and Cybernetics, 12, 439�450. https:// doi.org/10.1109/TSMC.1982.4308848"
456,benbasat_2005,Benbasat (2005),1,kormylo_till_2025,"Benbasat, I., and Wang, W. 2005. ""Trust in and Adoption of Online Recommendation Agents,"" J. AIS (6)."
457,beniger_1989,Beniger (1989),1,kurtzberg_attribution_2004,"Beniger, J. (1989). The control revolution: Technological and economic origins of the Information Society. Cambridge, MA: Harvard University Press."
458,benlian_2020,Benlian (2020),1,berger_watch_2021,"Benlian A, Klumpe J, Hinz O (2020) Mitigating the intrusive effects of smart home assistants by using anthropomorphic design features: a multimethod investigation. Inf Syst J 30(6):1010�1042. https://doi.org/10.1111/isj.12243"
459,benoit_2020,Benoit (2020),1,niszczota_robo-investors_2020,"46. Benoit K, Muhr D, Watanabe K. stopwords: Multilingual Stopword Lists. 2020. https://CRAN.R-project. org/package=stopwords"
460,berberian_2012,Berberian (2012),1,salatino_influence_2025,"14. Berberian, B., Sarrazin, J. C., Le Blaye, P. & Haggard, P. Automation technology and sense of control: a window on human agency. PloS ONE 7 (3), e34075 (2012)."
461,berberian_2019,Berberian (2019),1,salatino_influence_2025,"15. Berberian, B. Man-machine teaming: a problem of agency. IFAC PapersOnLine 51 (34), 118�123 (2019)."
462,berg_2020,Berg (2020),1,niszczota_robo-investors_2020,"52. Berg F, Ko� lbel JF, Rigobon R. Aggregate Confusion: The Divergence of ESG Ratings. Rochester, NY: Social Science Research Network; 2020 May. Report No.: ID 3438533."
463,berger_1975,Berger (1975),1,liu_when_2021,"Berger, C. R. & Calabrese, R. J. (1975). Some explorations in initial interaction and beyond: Toward a developmental theory of interpersonal communication. Human Communication Research, 1(2), 99�112. https://doi.org/10.1111/j.1468-2958.1975.tb00258.x"
464,berger_1982,Berger (1982),1,liu_when_2021,"Berger, C. R. & Bradac, J. J. (1982). Language and social knowledge: Uncertainty in interpersonal rela- tions. Edward Arnold."
465,berger_1987,Berger (1987),1,liu_when_2021,"Berger, C. R. (1987). Communicating under uncertainty. In M. E. Roloff & G. R. Miller (Eds.), Interpersonal processes: New directions in communication research (pp. 39�62). Sage."
466,bergstrom_1990,Bergstrom (1990),1,litterscheidt_financial_2020,"Bergstrom, J. C., & Stoll, J. R. (1990). An analysis of information overload with implications for survey design research. Leisure Sciences, 12(3), 265-280."
467,berinsky_2014,Berinsky (2014),1,de_quidt_measuring_2018,"Berinsky, Adam J., Michele F. Margolis, and Michael W. Sances. 2014. ""Separating the Shirkers from the Workers? Making Sure Respondents Pay Attention on Self-Administered Surveys."" American Journal of Political Science 58 (3): 739�53."
468,berkeley_2014,Berkeley Dietvorst (2014),1,chen_AI_2026,"[24] Berkeley Dietvorst, Joseph Simmons, and Cade Massey. 2014. Algorithm Aver- [6] Mads N. Arnestad, Samuel Meyers, Kurt Gray, and Yochanan E. Bigman. 2024. The existence of manual mode increases human blame for AI mistakes. Cognition 252 (2024), 105931. doi:10.1016/j.cognition.2024.105931 students"
469,bernard_2015,Bernard (2015),1,kormylo_till_2025,"Bernard, C., Chen, J. S., and Vanduffel, S. 2015. ""Rationalizing Investors' Choices,"" Journal of Mathematical Economics (59), pp. 10-23."
470,berndsen_2007,Berndsen (2007),1,kirchkamp_sharing_2019,"Berndsen, M. and Manstead, A. S. R. (2007). On the relationship between responsibility and guilt: Antecedent appraisal or elaborated appraisal? European Journal of Social Psychology, 37(4):774�792."
471,bernheim_2015,Bernheim (2015),1,benabou_identity_2011,"Bernheim, B. Douglas, ""A Theory of Conformity,"" Journal of Political Economy,          Downloaded from http://qje.oxfordjournals.org/ at Dalhousie University on May 17, 2015 102 (1994), 842�877."
